feature,importance
user_segment_HDFC_Uttar Pradesh_36-45,0.001476216
user_segment_Axis_West Bengal_26-35,0.0014743918
user_segment_Axis_Rajasthan_26-35,0.0014710099
ORGANIZATION_TYPE_Industry: type 12,0.0014653996
user_segment_SBI_Maharashtra_36-45,0.0014644754
user_segment_PNB_Delhi_36-45,0.0014643351
user_segment_SBI_Karnataka_36-45,0.0014614474
user_segment_ICICI_Karnataka_46-55,0.0014608537
NAME_TYPE_SUITE_Other_B,0.0014600124
user_segment_ICICI_Telangana_18-25,0.00145709
user_segment_Yes Bank_Gujarat_36-45,0.0014546446
user_segment_Yes Bank_Tamil Nadu_46-55,0.0014540411
user_segment_Yes Bank_Maharashtra_26-35,0.0014497384
user_segment_Axis_Gujarat_26-35,0.0014491169
user_segment_Axis_Gujarat_18-25,0.0014486412
user_segment_Yes Bank_West Bengal_46-55,0.0014450678
user_segment_PNB_Gujarat_26-35,0.001437828
user_segment_Kotak_West Bengal_56+,0.0014373695
user_segment_Kotak_Gujarat_46-55,0.0014361998
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.0014327345
user_segment_IndusInd_Andhra Pradesh_36-45,0.0014312025
user_segment_IndusInd_Rajasthan_46-55,0.0014265835
user_segment_HDFC_Karnataka_46-55,0.0014258745
user_segment_Kotak_Gujarat_36-45,0.0014199355
NAME_TYPE_SUITE_Unaccompanied,0.0014196631
user_segment_Kotak_Delhi_56+,0.0014146453
user_segment_Kotak_Rajasthan_46-55,0.0014120799
user_segment_PNB_Delhi_46-55,0.0014105925
ORGANIZATION_TYPE_Industry: type 3,0.0014088636
user_segment_Yes Bank_Telangana_46-55,0.0014053336
user_segment_ICICI_Karnataka_56+,0.0014041055
user_segment_Kotak_Rajasthan_26-35,0.0014035727
user_segment_ICICI_Rajasthan_18-25,0.0014027081
user_segment_SBI_Gujarat_36-45,0.001402282
user_segment_Kotak_Maharashtra_56+,0.0014017711
user_segment_Yes Bank_Rajasthan_56+,0.0014015734
user_segment_SBI_Uttar Pradesh_36-45,0.0013953937
user_segment_ICICI_Rajasthan_56+,0.0013939742
ORGANIZATION_TYPE_Advertising,0.0013920476
user_segment_HDFC_Karnataka_56+,0.0013895254
user_segment_ICICI_Uttar Pradesh_56+,0.0013801443
user_segment_Kotak_Gujarat_26-35,0.0013649034
user_segment_PNB_Tamil Nadu_46-55,0.0013611934
ORGANIZATION_TYPE_Agriculture,0.0013583237
CNT_CHILDREN,0.0013554683
user_segment_Yes Bank_Gujarat_18-25,0.0013518041
user_segment_HDFC_Maharashtra_36-45,0.001348754
user_segment_Kotak_Rajasthan_36-45,0.001346794
user_segment_Axis_Gujarat_46-55,0.0013447419
user_segment_ICICI_Gujarat_56+,0.0013446942
user_segment_ICICI_Delhi_46-55,0.0013438071
user_segment_PNB_Gujarat_46-55,0.0013385671
AMT_REQ_CREDIT_BUREAU_DAY,0.0013348504
user_segment_Yes Bank_Telangana_26-35,0.0013311998
user_segment_Kotak_Maharashtra_36-45,0.0013294098
user_segment_ICICI_Maharashtra_36-45,0.0013217361
user_segment_IndusInd_Maharashtra_36-45,0.001318384
AMT_REQ_CREDIT_BUREAU_HOUR,0.0013174973
OCCUPATION_TYPE_Security staff,0.0013101847
FLAG_DOCUMENT_15,0.0013088027
user_segment_SBI_Telangana_36-45,0.0013081226
user_segment_SBI_Maharashtra_18-25,0.0013061858
user_segment_ICICI_Tamil Nadu_56+,0.001302582
NAME_INCOME_TYPE_Unemployed,0.0013003948
user_segment_Axis_Gujarat_36-45,0.0012952811
user_segment_PNB_Tamil Nadu_26-35,0.0012912335
ORGANIZATION_TYPE_Industry: type 2,0.0012766148
user_segment_SBI_Tamil Nadu_36-45,0.0012750297
user_segment_PNB_Maharashtra_56+,0.0012578852
user_segment_PNB_Tamil Nadu_36-45,0.0012535008
ORGANIZATION_TYPE_Industry: type 4,0.0012529799
user_segment_PNB_Andhra Pradesh_26-35,0.0012506982
EMERGENCYSTATE_MODE_Yes,0.0012500753
user_segment_Axis_Andhra Pradesh_56+,0.0012499973
user_segment_Axis_Uttar Pradesh_18-25,0.0012448773
user_segment_HDFC_Andhra Pradesh_18-25,0.0012408834
user_segment_Kotak_Andhra Pradesh_18-25,0.0012299131
ORGANIZATION_TYPE_Transport: type 4,0.0012272969
user_segment_Axis_Telangana_36-45,0.0012267077
user_segment_PNB_West Bengal_26-35,0.0012193575
user_segment_IndusInd_Gujarat_36-45,0.0012125536
user_segment_Yes Bank_Andhra Pradesh_36-45,0.0012045524
user_segment_IndusInd_Maharashtra_26-35,0.0011924658
user_segment_HDFC_West Bengal_56+,0.0011917059
user_segment_Axis_Uttar Pradesh_26-35,0.0011894179
ORGANIZATION_TYPE_Industry: type 11,0.0011717182
user_segment_IndusInd_Karnataka_18-25,0.0011672125
OCCUPATION_TYPE_HR staff,0.0011637266
user_segment_Axis_Karnataka_36-45,0.0011606957
user_segment_Kotak_Uttar Pradesh_18-25,0.0011602174
FLAG_DOCUMENT_9,0.0011589744
